# r	xi_analytic	xi_mean	xi_std	xi_stderr	bias_sigma
3.71	7.08520642	7.23258937	0.01821333	0.01287877	11.4439
5.14	3.67462228	3.81373215	0.51240359	0.36232406	0.3839
6.56	2.23615583	2.14541131	0.25239933	0.17847328	-0.5084
7.98	1.49858358	1.33221481	0.01387053	0.00980795	-16.9626
9.41	1.07129653	1.05132091	0.07789158	0.05507766	-0.3627
10.83	0.80212374	0.73656883	0.04633197	0.03276165	-2.0010
12.25	0.62185412	0.58274162	0.02371212	0.01676700	-2.3327
13.68	0.49535271	0.50346710	0.01451783	0.01026565	0.7904
15.10	0.40325239	0.39955422	0.05150068	0.03641648	-0.1016
16.52	0.33417030	0.31484263	0.05744180	0.04061749	-0.4758
17.95	0.28106288	0.29698763	0.03997235	0.02826472	0.5634
19.37	0.23938370	0.21904642	0.00935402	0.00661429	-3.0747
20.79	0.20609260	0.16818123	0.05689452	0.04023050	-0.9424
22.22	0.17909486	0.19721666	0.03441741	0.02433678	0.7446
23.64	0.15690946	0.13348736	0.05042256	0.03565413	-0.6569
25.07	0.13846559	0.15003022	0.04377315	0.03095229	0.3736
26.49	0.12297366	0.15228916	0.00831297	0.00587816	4.9872
27.91	0.10984123	0.13554633	0.03745777	0.02648664	0.9705
29.34	0.09861687	0.09699362	0.03154809	0.02230787	-0.0728
30.76	0.08895178	0.08857282	0.03299696	0.02333238	-0.0162
32.18	0.08057303	0.07961672	0.00832043	0.00588343	-0.1625
33.61	0.07326468	0.06541441	0.03507075	0.02479877	-0.3166
35.03	0.06685406	0.05645235	0.01197216	0.00846560	-1.2287
36.45	0.06120180	0.05163035	0.01635368	0.01156380	-0.8277
37.88	0.05619444	0.05310212	0.03580956	0.02532118	-0.1221
39.30	0.05173885	0.09541775	0.01202692	0.00850432	5.1361
40.73	0.04775804	0.08399279	0.00487672	0.00344836	10.5078
42.15	0.04418791	0.10664899	0.00892824	0.00631322	9.8937
43.57	0.04097478	-0.00413555	0.02441780	0.01726599	-2.6127
45.00	0.03807338	-0.15590590	0.03862510	0.02731207	-7.1023
